Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
21.00,109.99,12.30,4.79,0.09,0.00,0.28
21.00,88.99,10.20,3.59,0.08,0.00,0.28
49.00,81.00,10.20,2.96,0.11,0.00,0.34
32.00,111.99,13.90,7.53,0.11,0.00,0.36
32.00,97.49,11.75,4.81,0.18,0.00,0.56
21.00,102.49,11.90,4.78,0.17,0.01,0.58
32.00,107.99,11.30,4.81,0.39,0.00,1.23
32.00,89.99,10.90,4.36,0.41,0.00,1.30
21.00,102.74,10.48,3.85,0.43,0.00,1.39
32.00,106.74,11.78,5.01,0.44,0.00,1.42
21.00,92.74,12.20,4.53,0.43,0.00,1.47
21.00,104.25,13.43,4.35,0.41,0.00,1.49
32.00,107.39,11.22,4.80,0.45,0.00,1.49
21.00,99.59,13.86,4.48,0.37,0.00,1.50
26.00,105.39,11.24,3.81,0.46,0.01,1.50
21.00,97.74,13.78,4.23,0.39,0.00,1.52
21.00,97.19,14.20,4.81,0.41,0.00,1.52
21.00,108.49,12.20,4.11,0.40,0.00,1.53
21.00,106.99,12.40,4.53,0.41,0.00,1.53
21.00,97.99,13.68,4.16,0.40,0.00,1.55
21.00,101.59,13.22,4.31,0.41,0.00,1.56
21.00,99.99,13.65,4.16,0.40,0.00,1.56
21.00,96.74,14.75,4.11,0.40,0.00,1.56
21.00,104.49,14.33,5.29,0.42,0.00,1.56
21.00,106.19,12.54,4.50,0.40,0.00,1.58
21.00,101.79,13.76,4.60,0.40,0.00,1.58
21.00,104.24,13.38,4.95,0.42,0.00,1.59
21.00,98.59,14.50,5.10,0.42,0.00,1.61
21.00,95.39,14.46,4.86,0.38,0.00,1.63
21.00,100.49,13.43,4.39,0.42,0.00,1.64
21.00,99.79,13.70,4.38,0.41,0.00,1.64
21.00,96.24,14.20,3.93,0.42,0.00,1.64
21.00,107.79,12.64,4.80,0.42,0.00,1.66
21.00,93.80,14.86,4.37,0.43,0.00,1.66
21.00,104.39,13.18,4.81,0.42,0.00,1.66
21.00,95.49,15.68,4.64,0.44,0.00,1.66
21.00,100.99,13.42,3.98,0.45,0.00,1.67
21.00,103.39,13.08,4.53,0.43,0.00,1.69
21.00,98.74,14.25,3.91,0.42,0.00,1.69
21.00,95.74,14.35,4.33,0.40,0.00,1.69
21.00,102.74,13.40,4.04,0.42,0.00,1.70
21.00,99.79,13.24,4.53,0.43,0.00,1.70
21.00,101.00,13.88,4.43,0.46,0.00,1.72
21.00,103.74,12.65,4.79,0.45,0.00,1.72
21.00,96.24,14.78,4.08,0.44,0.00,1.72
21.00,97.24,13.83,4.72,0.40,0.00,1.73
21.00,103.50,14.10,4.67,0.46,0.00,1.73
21.00,99.33,13.43,4.34,0.49,0.01,1.75
21.00,111.79,13.84,4.28,0.45,0.01,1.75
21.00,94.99,14.88,4.75,0.46,0.00,1.75
21.00,101.16,13.72,4.58,0.46,0.00,1.77
21.00,105.49,13.90,4.89,0.45,0.00,1.77
21.00,98.49,14.50,4.41,0.43,0.00,1.77
21.00,99.39,12.80,4.55,0.46,0.00,1.78
21.00,103.00,13.02,4.25,0.45,0.00,1.78
21.00,105.24,13.25,4.09,0.45,0.00,1.78
21.00,94.59,15.40,4.56,0.45,0.00,1.78
21.00,108.83,10.73,4.20,0.53,0.01,1.78
21.00,107.39,12.94,4.20,0.46,0.01,1.80
21.00,110.19,12.68,4.73,0.44,0.01,1.80
21.00,94.59,14.64,4.52,0.46,0.00,1.80
21.00,106.99,12.20,4.03,0.42,0.00,1.81
21.00,96.40,14.80,4.61,0.48,0.00,1.81
21.00,120.79,12.70,4.85,0.47,0.01,1.81
21.00,99.39,14.16,4.61,0.45,0.00,1.81
21.00,103.74,13.28,4.95,0.46,0.00,1.81
21.00,122.59,13.24,5.18,0.48,0.01,1.81
21.00,99.79,13.74,4.24,0.43,0.00,1.83
21.00,98.79,13.68,4.38,0.45,0.00,1.83
21.00,93.00,15.28,4.48,0.44,0.00,1.83
21.00,108.59,12.72,4.70,0.44,0.00,1.84
21.00,107.99,12.30,4.19,0.45,0.00,1.84
21.00,106.19,12.70,3.97,0.47,0.00,1.84
21.00,97.99,14.74,4.51,0.48,0.00,1.84
21.00,104.59,13.54,4.29,0.47,0.00,1.84
21.00,98.20,14.80,4.31,0.50,0.00,1.86
21.00,106.79,12.22,4.25,0.48,0.00,1.86
21.00,96.20,14.82,4.65,0.49,0.00,1.86
21.00,99.39,13.56,4.67,0.45,0.00,1.88
21.00,114.20,13.16,3.88,0.46,0.01,1.88
21.00,110.32,13.68,5.12,0.49,0.01,1.88
21.00,105.24,12.33,4.01,0.45,0.00,1.89
21.00,104.99,12.48,4.44,0.47,0.00,1.89
21.00,107.50,12.35,4.38,0.45,0.00,1.89
21.00,104.83,10.83,4.13,0.58,0.01,1.89
21.00,97.19,14.52,4.41,0.49,0.00,1.89
21.00,119.99,12.22,3.74,0.48,0.01,1.89
21.00,104.79,13.86,4.93,0.51,0.00,1.89
21.00,98.20,14.84,4.46,0.49,0.00,1.89
21.00,107.59,12.24,4.57,0.49,0.00,1.91
21.00,99.39,13.42,4.39,0.48,0.00,1.91
21.00,107.49,12.15,3.68,0.48,0.00,1.91
21.00,106.49,12.20,4.16,0.45,0.00,1.91
21.00,103.99,12.58,4.55,0.44,0.00,1.91
21.00,106.59,12.42,4.14,0.49,0.01,1.91
21.00,104.00,13.03,4.82,0.48,0.00,1.91
21.00,96.39,14.76,4.42,0.50,0.00,1.91
21.00,101.83,13.78,4.52,0.51,0.01,1.91
21.00,103.19,13.46,4.93,0.49,0.00,1.91
21.00,98.39,14.12,4.43,0.48,0.00,1.91
21.00,97.79,13.92,4.32,0.45,0.00,1.92
21.00,107.24,12.10,4.17,0.47,0.00,1.92
21.00,117.33,12.65,4.71,0.51,0.01,1.92
21.00,103.99,13.40,4.97,0.50,0.00,1.92
21.00,103.59,13.34,5.00,0.51,0.00,1.92
21.00,97.99,14.56,4.62,0.51,0.00,1.92
21.00,96.79,14.26,4.38,0.49,0.00,1.92
21.00,121.60,12.50,4.51,0.51,0.01,1.92
21.00,107.16,12.55,4.36,0.52,0.01,1.94
21.00,108.19,12.68,4.79,0.51,0.01,1.94
21.00,99.49,13.73,3.73,0.45,0.00,1.94
21.00,108.20,12.58,3.80,0.47,0.01,1.94
21.00,121.33,12.33,4.54,0.49,0.01,1.95
21.00,94.19,15.02,4.20,0.52,0.00,1.95
21.00,94.49,14.65,3.74,0.47,0.00,1.95
21.00,103.79,12.76,3.95,0.47,0.00,1.95
21.00,100.99,13.65,4.41,0.51,0.00,1.95
21.00,117.16,13.03,4.64,0.49,0.01,1.97
21.00,98.19,13.78,4.41,0.48,0.00,1.97
21.00,94.79,14.72,4.31,0.48,0.00,1.97
21.00,100.19,13.92,4.06,0.50,0.00,1.98
21.00,103.19,13.06,4.29,0.50,0.00,1.98
21.00,103.79,12.98,3.88,0.49,0.00,1.98
